customerName,userName,password,address,phoneNumber,eMail,restaurants,cuisines
Leatha Aziz,la569gj,4otrgkfnf,964 Kirkland Road  Long BranchNJ 07740,(596) 361-2280,rh-rio@gmail.com,Pin-Toh Thai Café,Thai
Carlyn Kyllonen,sjo3f0f,5rfcdrtyu,794 South Annadale Street Bensalem PA 19020, (185) 795-5458,conc.loisel@gmail.com,Chick-fil-A   Mad Taco,Fast Food   Tex-Mex
Jessie Marburger,i3ir4op,okmnbgr,7971 Heather Ave. Oswego NY 13126,(370) 147-5774,rhoma@gmail.com,Fuego Tortilla Grill   C&C Asian Garden   Ohana Korean Grill,Tex-Mex   Chinese   Korean
Lakiesha Kriebel,wjor32,w3edrfcvh,9477 East Chestnut Street Valrico FL 33594,(801) 507-0132,gab_lheu@gmail.com,Naked Fish,Japanese
Solomon Jeanbaptiste,jfopjfpo,oknjh,304 Poor House Lane Brandon FL 33510,(621) 519-3400,u90j@gmail.com,Taz Indian Cuisine   Veritas Wine & Bistro,Indian French
Keri Michaelsen,e3e3ope,4dftgy,7550 Whitemarsh Ave. Old Bridge NJ 08857,(663) 601-5948,7ujb@gmail.com,Panda Express   Dixie Chicken   The Republic Steakhouse,Fast Food   American
Venus Fitzhenry,12i032,egfvc,857 Shore Ave. Charlottesville VA 22901,(364) 376-2754,123ui@gmail.com,Rosie's Pho,Vietnamese
Karlyn Clyburn,r9eroj,oikyujnhtfb,9017 Applegate Drive Durham NC 27703,(301) 846-9604,hddde@gmail.com,Kung Fu Tea,Coffee & Tea
Eileen Dwight,3jr2prj,4trgethyjuk,1 North Squaw Creek Ave. Lawrenceville GA 30043,(190) 751-4770,hui3e@gmail.com, Fu Tea,Coffee & Tea
Deena Jacks,sdafdv,4rfdsv,98 Briarwood Ave. Pomona CA 91768,(731) 151-1368,uouhy7@gmail.com,Pin-Toh Thai Café,Thai
Britany Elzey,24rtg,4ewfdsv,496 Manor Rd. Winter Haven FL 33880,(596) 361-2280,39eiuhdb@gmail.com,Chick-fil-A   Mad Taco,Fast Food   Tex-Mex
Gabriele Leighton,poikjh,kujtnhgb,49 Queen Road Marshalltown IA 50158,(185) 795-5458,21eih@gmail.com,Fuego Tortilla Grill   C&C Asian Garden   Ohana Korean Grill,Tex-Mex   Chinese   Korean
Madalene Zehnder,trgfgte,thrgbdv,23 South Hilldale Avenue Ridgecrest CA 93555,(370) 147-5774,u2kebhdc@gmail.com,Naked Fish,Japanese
Teisha Dagley,9ijn,43twrgfsdv,54 W. New Saddle St. Harvey IL 60426,(801) 507-0132,uhgft@gmail.com,Taz Indian Cuisine   Veritas Wine & Bistro,Indian French
Jacinta Burger,3edf,yhbvcd,6 Nichols Ave. Chatsworth GA 30705,(621) 519-3400,72ehg@gmail.com,Panda Express   Dixie Chicken   The Republic Steakhouse,Fast Food   American
Lucas Fleischman,1qaet,2eqwdads,532 Albany St. Winder GA 30680,(663) 601-5948,8ughd@gmail.com,Rosie's Pho,Vietnamese
Dollie Gula,op32rjtrg,lkijuhtbgvf,407 Grove Rd. Christiansburg VA 24073,(364) 376-2754,rh-rio@gmail.com,Kung Fu Tea,Coffee & Tea
Roscoe Campione,pr4jfgln,rthgbdvc,465 Leatherwood Court Allison Park PA 15101,(301) 846-9604,conc.loisel@gmail.com, Taco , Mexican
Mozell Walkowiak,q3ewrty,3trgfsvcsdefrg,524 Hillcrest Ave. Winter Park FL 32792,(190) 751-4770,rhoma@gmail.com,Pin-Toh Thai Café,Thai
Ellis Owsley,2p34itrjh,twgrehtrm,90 Iroquois Drive Montclair NJ 07042,(731) 151-1368,gab_lheu@gmail.com,Chick-fil-A   Mad Taco,Fast Food   Tex-Mex
Emiko Liebsch,i4tjrgth,u75yrhtgffe,964 Kirkland Road Long Branch NJ 07740,(596) 361-2280,u90j@gmail.com,Fuego Tortilla Grill   C&C Asian Garden   Ohana Korean Grill,Tex-Mex   Chinese   Korean
Tressa Borst,sefgdh,3rewgrthryj,794 South Annadale Street Bensalem PA 19020,(185) 795-5458,7ujb@gmail.com,Naked Fish,Japanese
Ferne Dever,3portrkthj,wegrfhjuk,7971 Heather Ave. Oswego NY 13126,(370) 147-5774,123ui@gmail.com,Taz Indian Cuisine   Veritas Wine & Bistro,Indian French
Corrinne Burks,324tyyj,ewrgfhryj,9477 East Chestnut Street Valrico FL 33594,(801) 507-0132,hddde@gmail.com,Panda Express   Dixie Chicken   The Republic Steakhouse,Fast Food   American
Rikki Wessels,vgrey56ujk,3r4rgthyju,304 Poor House Lane Brandon FL 33510,(621) 519-3400,hui3e@gmail.com,Rosie's Pho,Vietnamese
Velma Rothe,3rtrwethjyu,13e2rery7,7550 Whitemarsh Ave. Old Bridge NJ 08857,(663) 601-5948,uouhy7@gmail.com,Kung Fu Tea,Coffee & Tea
Coy Goh,afdsfbdgnrhtew,23edft6,857 Shore Ave. Charlottesville VA 22901,(364) 376-2754,39eiuhdb@gmail.com, Cafe, Coffee & Tea
Sharika Rochelle,myjthnrbter,8ujhgfr4,9017 Applegate Drive Durham NC 27703,(301) 846-9604,21eih@gmail.com,Café Eccell,Coffee & Tea
Rory Bessey,675tegrf,wedfghy,1 North Squaw Creek Ave. Lawrenceville GA 30043,(190) 751-4770,u2kebhdc@gmail.com,Pin-Toh Thai Café,Thai
Felice Orsi,wrsfvbnhrt,erfgy6543,98 Briarwood Ave. Pomona CA 91768,(731) 151-1368,uhgft@gmail.com,Chick-fil-A   Mad Taco,Fast Food   Tex-Mex
Dorothy Reitz,ewfdsvfbgn,ft5431,496 Manor Rd. Winter Haven FL 33880,(596) 361-2280,72ehg@gmail.com,Fuego Tortilla Grill   C&C Asian Garden   Ohana Korean Grill,Tex-Mex   Chinese   Korean
Myrtis Edsall,8ujthnfb,9iuyt6,49 Queen Road Marshalltown IA 50158,(185) 795-5458,8ughd@gmail.com,Naked Fish,Japanese
Jutta Hieb,4wegsfbth,3ert65,23 South Hilldale Avenue Ridgecrest CA 93555,(370) 147-5774,rh-rio@gmail.com,Taz Indian Cuisine   Veritas Wine & Bistro,Indian French
Ivette Derosier,okjnbhj,345tfe3,54 W. New Saddle St. Harvey IL 60426,(801) 507-0132,conc.loisel@gmail.com,Panda Express   Dixie Chicken   The Republic Steakhouse,Fast Food   American
Dessie Erskine,turgeijfk,ygfr54ed,6 Nichols Ave Chatsworth GA 30705,(621) 519-3400,rhoma@gmail.com,Rosie's Pho,Vietnamese
Ashlyn Phair,uijtrgekm,3eft54,532 Albany St. Winder GA 30680,(663) 601-5948,gab_lheu@gmail.com,Kung Fu Tea,Coffee & Tea
Marielle Biederman,i5ogkelf,edft54,407 Grove Rd. Christiansburg VA 24073,(364) 376-2754,u90j@gmail.com,Café Eccell,Coffee & Tea
Shirely Colmenero,2ewfrgg,wedft54,465 Leatherwood Court Allison Park PA 15101,(301) 846-9604,7ujb@gmail.com,Pin-Toh Thai Café,Thai
Marilynn Pretty,6thrbdfvsd,8765rf,524 Hillcrest Ave. Winter Park FL 32792,(190) 751-4770,123ui@gmail.com,Chick-fil-A   Mad Taco,Fast Food   Tex-Mex
Viola Teamer,t4jrgwkvsdm,3edft4,90 Iroquois Drive Montclair NJ 07042,(731) 151-1368,hddde@gmail.com,Fuego Tortilla Grill   C&C Asian Garden   Ohana Korean Grill,Tex-Mex   Chinese   Korean
Sherron Shuman,o6htlkebf,wedr43,964 Kirkland Road Long Branch NJ 07740,(596) 361-2280,hui3e@gmail.com,Naked Fish,Japanese
Linette Weinstock,rqoefjildv,dfr432wsd,794 South Annadale Street Bensalem PA 19020,(185) 795-5458,uouhy7@gmail.com,Taz Indian Cuisine   Veritas Wine & Bistro,Indian French
Ricardo Springfield,p5y4jetlkg,3e4565y,7971 Heather Ave. Oswego NY 13126,(370) 147-5774,39eiuhdb@gmail.com,Panda Express   Dixie Chicken   The Republic Steakhouse,Fast Food   American
Hollis Arreola,p24otjlkwg,2345tygf,9477 East Chestnut Street Valrico FL 33594,(801) 507-0132,21eih@gmail.com,Rosie's Pho,Vietnamese
Tamera Dahlgren,io4weflnd,345tgfded,304 Poor House Lane Brandon FL 33510,(621) 519-3400,u2kebhdc@gmail.com,Kung Fu Tea,Coffee & Tea
Vanetta Janowski,refwd32e,456yhgf,7550 Whitemarsh Ave. Old Bridge NJ 08857,(663) 601-5948,uhgft@gmail.com, Cafe, Coffee & Tea
Dong Dobles,13243edff,34rfds1,857 Shore Ave. Charlottesville VA 22901,(364) 376-2754,72ehg@gmail.com,Rosie's Pho,Vietnamese
